id_propiedad,ciudad,barrio,tipo_operacion,tipo_inmueble,precio,superficie_m2,habitaciones,baños,estado,año_construccion,planta,ascensor,terraza,piscina,garaje,trastero,distancia_centro_km,fecha_publicacion
76,Madrid,Retiro,Venta,Dúplex,334706.0,60.7,4.0,2.0,Buen estado,1975,3,False,True,False,True,False,3.74,2025-01-27
77,Madrid,Tetuán,Venta,Piso,537783.0,88.2,3.0,2.0,Buen estado,1972,Ático,False,False,,True,True,7.13,2024-12-02
78,Madrid,Tetuán,Venta,Ático,326495.0,63.8,6.0,1.0,Obra nueva,2019,Ático,True,False,True,True,False,5.88,2024-10-30
79,Madrid,Retiro,Venta,Estudio,248495.0,55.9,6.0,1.0,Buen estado,2013,3,True,False,False,False,False,3.99,2025-03-30
80,Madrid,Retiro,Venta,Piso,465879.0,92.6,5.0,3.0,Buen estado,1974,3,False,False,False,True,False,6.88,2025-02-07
81,Madrid,Tetuán, Alquiler , Piso ,409846.0,80.2,3.0,1.0,Buen estado,1972,Ático,False,False,False,True,False,4.64,2025-03-05
82,Madrid,Chamberí,Alquiler,Piso,238367.0,49.1,1.0,1.0,Buen estado,1998,2,True,True,False,False,False,,2025-03-25
83,Madrid,Arganzuela,Venta,Dúplex,426433.0,104.9,2.0,2.0,Obra nueva,2018,6,False,True,False,True,True,5.99,
84,Madrid,Chamberí,Alquiler,Estudio,454916.0,93.5,2.0,1.0,Buen estado,1996,8,True,True,True,False,True,6.22,2024-12-11
85,Madrid,Salamanca,Venta,Dúplex,499192.0,106.8,2.0,1.0, Buen estado ,1986,8,True,False,False,True,False,2.38,2025-03-10
86,Madrid,Retiro,Alquiler,Ático,379685.0,74.5,2.0,2.0,Buen estado,1983,8,True,True,True,False,True,7.82,2025-01-26
87,Madrid,Tetuán,Venta, Piso ,409655.0,80.2,3.0,4.0,Reformado,1979,7,False,False,False,True,False,3.08,2024-12-14
88,Madrid,Chamberí,Alquiler,Piso,,68.8,2.0,2.0,Obra nueva,2021,Ático,True,False,False,True,True,4.75,2024-12-09
89,Madrid,Retiro,Venta,Estudio,380495.0,82.3,,1.0,Buen estado,1954,5,,False,False,False,False,6.14,2024-12-29
90,Madrid,Tetuán,Venta,Piso,566618.0,109.2,3.0,1.0,Buen estado,1983,2,True,False,False,False,False,4.64,2025-04-07
91,Madrid,Chamberí,Venta,Piso,397272.0,70.5,4.0,1.0,Buen estado,2007,6,True,False,False,True,False,,2024-10-24
92,Madrid,Chamberí,Alquiler,Piso,326459.0,59.9,1.0,1.0,Obra nueva,2023,Bajo,False,False,False,True,True,5.46,2025-03-05
93,Madrid,Centro,Venta,Ático,,,2.0,1.0,Buen estado,1974,6,True,False,False,False,True,6.44,2025-01-24
94,Madrid,Tetuán,Alquiler,Piso,486414.0,104.0,2.0,,Buen estado,1977,3,False,False,True,False,False,6.54,2025-02-10
95,Madrid,Chamberí,Venta,Piso,476913.0,86.4,2.0,1.0, Buen estado ,2011,Ático,True,,False,False,False,3.39,2025-03-31
96,Madrid,Centro,Alquiler,Dúplex,,65.0,5.0,1.0,Reformado,2006,9,True,True,,True,False,3.28,2025-02-22
97,Madrid,Salamanca,Alquiler,Piso,278262.0,47.8,3.0,4.0,Buen estado,1983,1,True,False,False,False,True,5.82,2025-03-22
98,Madrid,Centro,Venta,Piso,430581.0,87.0,3.0,2.0,Buen estado,1991,6,False,False,False,False,False,8.67,2024-12-31
99,Madrid,Chamberí,Venta,Piso,258920.0,56.5,1.0,1.0,Reformado,1972,4,True,False,False,False,False,5.61,2025-01-24
100,Madrid,Retiro,Alquiler,Piso,473869.0,98.8,1.0,2.0,Obra nueva,2018,5,False,,True,True,False,5.23,2024-12-05
101,Madrid,Arganzuela,Venta,Chalet,350988.0,67.1,4.0,2.0,Buen estado,1996,Bajo,True,False,False,True,False,6.09,2024-12-11
102,Madrid,Chamberí,Alquiler,Estudio,422829.0,86.3,,1.0, Buen estado ,1978,7,True,False,False,True,True,6.64,2025-03-29
103,Madrid,Salamanca,Venta,Piso,543811.0,110.2,2.0,1.0,Buen estado,2000,5,True,False,,False,False,6.64,2024-11-20
104,Madrid,Tetuán,Venta,Estudio,537994.0,105.8,5.0,1.0,Buen estado,2005,2,True,False,False,True,False,7.81,
105,Madrid,Salamanca,Venta,Ático,690870.0,130.6,2.0,1.0,Buen estado,1986,6,False,True,False,False,False,7.19,2025-01-18
106,Madrid,Arganzuela,Venta,Piso,311319.0,62.6,7.0,1.0,Obra nueva,2019,1,True,True,False,True,False,2.85,2025-04-05
107,Madrid,Retiro,Alquiler,Estudio,253174.0,58.9,2.0,2.0,Buen estado,1992,9,True,False,True,False,False,7.92,2024-10-19
108,Madrid,Retiro,Venta,Estudio,324814.0,70.1,1.0,2.0,Buen estado,1955,Ático,False,False,False,True,True,4.78,2025-01-04
109,Madrid,Salamanca,Alquiler, Dúplex ,273837.0,61.1,2.0,,Buen estado,2013,5,True,False,False,True,False,5.33,2025-03-20
110,Madrid,Centro,Alquiler, Piso ,563962.0,97.7,3.0,1.0,Obra nueva,2023,4,True,True,False,False,False,5.57,2025-03-15
111,Madrid,Tetuán,Alquiler,Piso,391537.0,71.2,,1.0,Obra nueva,2022,4,True,True,False,True,False,,2024-12-30
112,Madrid,Chamberí, Alquiler ,Piso,453002.0,88.2,3.0,1.0,Reformado,1982,3,True,False,False,True,False,1.62,2025-02-04
113,Madrid,Tetuán,Venta,Piso,284027.0,66.7,1.0,1.0,Buen estado,1989,5,True,True,False,False,False,2.58,2024-11-24
114,Madrid,Centro,Venta,Dúplex,332355.0,73.8,1.0,1.0,Buen estado,1964,9,True,False,False,True,False,5.95,2025-04-06
115,Madrid,Retiro,Venta,Piso,,,3.0,3.0,Buen estado,2020,3,False,False,True,True,False,6.95,2025-01-21
116,Madrid,Centro,Venta,Piso,282155.0,51.2,3.0,1.0,Buen estado,1990,7,True,True,False,False,False,3.1,2025-01-31
117,Madrid,Salamanca,Venta,Piso,263336.0,58.1,,1.0,Buen estado,2003,4,True,False,False,False,False,,2025-03-27
118,Madrid,Tetuán,Venta,Piso,381599.0,84.3,4.0,1.0,Buen estado,1940,8,False,,False,True,False,6.86,2025-01-01
119,Madrid,Retiro,Alquiler,Piso,,106.2,6.0,2.0, Buen estado ,1995,1,False,False,True,False,False,1.84,2024-11-27
120,Madrid,Retiro,Venta,Piso,257360.0,49.2,1.0,2.0,Obra nueva,2019,3,True,False,True,,True,5.82,2024-12-03
121,Madrid,Arganzuela,Venta,Estudio,542896.0,106.6,3.0,2.0,A reformar,1948,8,True,True,False,False,False,6.02,2025-03-10
122,Madrid,Retiro,Alquiler,Dúplex,586049.0,101.9,5.0,1.0,Buen estado,2008,5,False,False,True,True,False,2.59,2024-11-23
123,Madrid,Retiro,Venta,Piso,442716.0,86.4,3.0,1.0,Buen estado,1987,Bajo,True,True,False,False,True,3.78,2025-02-27
124,Madrid,Retiro,Venta,Piso,582737.0,124.4,2.0,1.0,Reformado,1973,7,True,True,False,True,False,4.61,2024-11-04
125, Madrid ,Salamanca,Venta,Piso,299620.0,73.4,1.0,1.0,Buen estado,1975,2,False,False,True,True,False,5.54,2024-10-22
126,Madrid,Retiro,Alquiler,Piso,292059.0,50.5,2.0,1.0,Obra nueva,2021,7,True,False,,,False,3.97,2024-10-27
127,Madrid,Tetuán,Venta,Piso,453347.0,98.3,4.0,,Buen estado,1975,9,True,False,False,False,False,3.8,2024-12-25
128,Madrid,Salamanca,Alquiler,Piso,537442.0,95.7,1.0,1.0,Obra nueva,2022,9,True,True,True,True,True,6.38,2025-03-16
129,Madrid,Chamberí,Alquiler,Piso,323034.0,61.3,4.0,2.0,Reformado,1970,4,True,True,False,False,False,4.0,2025-03-08
130,Madrid, Centro ,Venta,Estudio,366868.0,82.1,5.0,1.0,Buen estado,1982,1,True,True,False,False,False,2.5,2024-12-01
131,Madrid,Arganzuela,Venta,Estudio,262263.0,63.8,,1.0,Buen estado,1975,2,True,False,False,False,True,4.42,2025-02-27
132,Madrid,Salamanca,Venta,Piso,347523.0,71.9,2.0,1.0,Buen estado,1994,7,False,False,,False,True,2.11,2024-12-22
133,Madrid, Salamanca ,Venta,Estudio,311444.0,72.1,2.0,1.0,Obra nueva,2021,1,True,True,False,True,True,4.13,
134,Madrid,Chamberí,Alquiler,Dúplex,463665.0,89.3,1.0,1.0,Buen estado,1991,Ático,True,False,False,True,False,3.29,2024-11-28
135,Madrid,Centro,Venta,Piso,821547.0,183.64665879238626,5.0,2.0,Buen estado,1992,4,False,False,False,False,False,4.28,2024-11-14
136,Madrid,Salamanca,Venta,Dúplex,322898.0,71.3,4.0,4.0,Buen estado,1966,9,True,True,False,True,False,1.59,2024-12-21
137,Madrid,Centro,Venta,Estudio,628623.0,122.7,2.0,1.0,Buen estado,1997,4,False,False,False,True,True,4.16,2025-02-14
138,Madrid,Tetuán,Venta,Piso,356337.0,74.8,5.0,1.0,Buen estado,1988,6,False,True,False,False,False,2.99,2024-12-30
139,Madrid,Tetuán, Venta ,Piso,445458.0,83.2,3.0,3.0,A reformar,1983,9,False,False,False,False,True,3.06,2025-03-08
140,Madrid,Salamanca,Alquiler,Estudio,542243.0,122.7,1.0,1.0,Buen estado,1981,Bajo,False,False,True,False,False,1.5,2024-11-22
141,Madrid,Centro,Venta,Piso,175212.0,32.4,6.0,2.0,Buen estado,1997,9,True,False,False,True,True,6.47,2025-01-28
142,Madrid,Arganzuela,Alquiler,Chalet,365022.0,84.3,2.0,2.0,Buen estado,1978,6,False,False,False,True,False,4.78,2025-01-02
143,Madrid,Retiro,Venta,Ático,385149.0,73.1,3.0,5.0,Buen estado,1979,7,True,False,False,False,True,4.94,
144,Madrid,Arganzuela,Alquiler,Dúplex,186455.0,32.7,,1.0,Buen estado,1995,7,False,False,False,True,False,5.54,2024-10-31
145,Madrid,Retiro,Venta,Piso,493219.0,101.7,3.0,1.0,Obra nueva,2022,Bajo,False,True,False,True,False,5.87,2025-03-26
146,Madrid,Tetuán,Venta,Piso,410185.0,90.9,1.0,1.0,Buen estado,1997,9,True,True,False,False,True,5.89,2025-02-13
147,Madrid,Arganzuela,Venta,Piso,,,1.0,1.0,Buen estado,1997,2,True,False,False,False,True,5.25,2024-12-21
148,Madrid,Centro,Alquiler,Piso,422899.0,79.2,3.0,1.0,Buen estado,1995,Ático,True,False,False,True,True,9.12,2025-03-13
149,Madrid,Chamberí,Alquiler,Piso,366173.0,76.3,3.0,,Buen estado,1978,6,True,False,False,False,False,3.43,2024-11-01
150,Madrid,Chamberí,Alquiler,Ático,413753.0,87.6,,,Buen estado,1971,1,False,False,False,False,True,5.44,2025-03-23
151,Madrid,Chamberí,Venta,Estudio,261958.0,62.7,6.0,1.0,Buen estado,1979,4,True,False,False,False,True,5.95,2025-01-23
152,Madrid,Centro,Alquiler,Piso,231256.0,47.5,3.0,1.0,Buen estado,1994,6,True,True,False,False,False,5.57,2024-11-26
153,Madrid,Tetuán,Venta,Ático,,,2.0,1.0,Reformado,1974,4,False,False,,True,False,5.77,2025-01-23
154,Madrid,Retiro,Alquiler,Piso,245817.0,45.1,1.0,1.0,Obra nueva,2020,4,True,False,False,True,False,7.74,2025-03-08
155,Madrid,Tetuán,Alquiler,Piso,411786.0,75.2,1.0,2.0,Buen estado,1977,8,True,False,False,True,True,,2025-02-09
156,Madrid,Retiro,Venta,Dúplex,471258.0,105.3,2.0,2.0,Buen estado,1978,5,True,False,True,False,False,6.08,2024-11-26
157,Madrid,Arganzuela,Venta,Piso,,73.4,2.0,2.0, Reformado ,1979,6,,False,False,False,False,6.56,2024-10-20
158,Madrid,Retiro,Alquiler,Estudio,247066.0,49.6,1.0,1.0,Obra nueva,2021,Ático,True,True,False,,False,4.27,2025-03-24
159,Madrid,Chamberí,Venta,Piso,326022.0,67.6,2.0,2.0, Buen estado ,2020,9,True,False,False,False,True,4.24,2025-01-01
160,Madrid,Salamanca,Alquiler,Piso,,,3.0,1.0,Buen estado,1980,7,True,False,False,False,False,4.7,2024-10-12
161,Madrid,Arganzuela,Venta,Ático,509510.0,103.4,1.0,2.0,A reformar,1989,1,,True,False,False,False,2.95,2025-02-06
162, Madrid ,Retiro,Venta, Estudio ,403662.0,88.4,6.0,1.0,Buen estado,1984,5,False,False,True,True,False,5.56,2025-03-30
163,Madrid,Tetuán,Venta,Piso,676323.0,129.3,2.0,1.0,Obra nueva,2021,8,True,False,False,False,False,6.17,2024-10-18
164,Madrid,Tetuán,Venta, Estudio ,519454.0,92.6,1.0,2.0,Reformado,1967,3,True,True,False,,,3.99,2024-11-01
165,Madrid,Centro,Alquiler,Dúplex,365551.0,67.2,1.0,1.0,Obra nueva,2018,7,True,True,True,False,False,6.25,2024-11-20
166,Madrid,Arganzuela,Venta, Piso ,225565.0,43.2,1.0,1.0,Buen estado,1981,Bajo,True,False,,False,True,3.14,2024-12-23
167, Madrid ,Retiro,Venta,Piso,428865.0,75.7,4.0,,Buen estado,1973,9,False,True,True,False,False,5.15,2025-04-01
168,Madrid,Chamberí,Venta,Piso,309087.0,68.7,3.0,1.0,Reformado,1963,9,True,False,,True,False,2.28,2025-04-01
169,Madrid,Chamberí,Venta,Piso,412666.0,83.3,1.0,1.0,Buen estado,1985,Ático,True,True,True,True,False,6.34,2024-12-13
170,Madrid,Centro,Venta,Piso,,,5.0,1.0,Obra nueva,2020,Ático,True,True,False,,False,4.57,2025-02-25
171,Madrid,Chamberí,Venta,Ático,453137.0,82.6,3.0,2.0,A reformar,1981,4,True,False,True,True,False,4.83,2025-03-21
172,Madrid,Centro,Venta,Piso,850997.0,170.99343540509597,5.0,1.0,Buen estado,1985,6,False,False,False,True,False,3.56,2025-02-09
173,Madrid,Salamanca,Venta,Piso,490342.0,86.5,4.0,1.0,Buen estado,1988,4,True,True,,False,False,4.93,2024-10-14
174,Madrid,Arganzuela,Venta,Piso,354865.0,65.5,1.0,,Reformado,1986,Bajo,True,False,False,True,True,5.17,2025-03-13
175,Madrid, Arganzuela ,Venta,Ático,433082.0,83.6,3.0,1.0,Buen estado,1988,3,True,False,False,False,False,6.66,2025-03-13
176,Madrid,Retiro,Venta,Piso,426681.0,82.6,2.0,1.0,Buen estado,2020,Ático,True,True,True,True,True,4.9,2025-04-01
177,Madrid,Chamberí,Venta,Ático,257588.0,47.9,1.0,1.0,Buen estado,2008,4,,True,False,True,False,5.84,2025-01-29
178,Madrid,Salamanca,Venta,Estudio,584523.0,110.4,4.0,1.0,Buen estado,1993,4,,False,True,True,False,5.97,2024-12-31
179,Madrid,Arganzuela, Venta ,Piso,274915.0,64.3,2.0,1.0,Obra nueva,2020,8,True,True,True,,True,4.41,2025-02-14
180,Madrid, Retiro ,Alquiler,Piso,675359.0,75.3,3.0,1.0,Obra nueva,2021,4,True,True,False,True,True,4.22,2025-01-03
181,Madrid,Salamanca,Venta,Piso,610911.0,106.5,2.0,2.0,Obra nueva,2019,Ático,True,True,False,False,True,4.72,2025-03-30
182,Madrid,Centro,Alquiler,Dúplex,367065.0,83.8,3.0,1.0,Buen estado,1989,6,False,False,True,False,False,2.92,2024-10-12
183,Madrid,Retiro,Venta,Piso,419282.0,74.1,3.0,1.0,Buen estado,1953,Ático,,False,False,True,False,,2024-12-15
184,Madrid,Tetuán,Venta,Estudio,375994.0,79.0,4.0,1.0, Buen estado ,1976,Ático,True,False,False,False,False,5.03,2024-12-07
185,Madrid,Centro,Venta,Ático,353371.0,80.3,1.0,,Buen estado,1982,9,True,True,True,False,False,1.89,2024-12-04
186,Madrid,Arganzuela,Venta,Dúplex,343972.0,79.6,1.0,1.0,Reformado,1985,4,False,True,False,False,True,7.41,2025-03-24
187,Madrid,Centro,Venta,Piso,,86.7,1.0,2.0,Buen estado,1968,7,True,False,False,True,True,3.85,2024-11-07
188,Madrid,Salamanca,Venta,Piso,424298.0,81.4,1.0,,Buen estado,1966,5,False,True,False,True,True,2.15,2025-03-29
189,Madrid,Arganzuela,Venta,Piso,487924.0,91.8,3.0,1.0,Buen estado,1987,2,True,True,False,False,,4.81,2025-01-23
190,Madrid,Arganzuela,Venta,Piso,346000.0,75.8,1.0,,Buen estado,1970,4,True,True,False,False,True,4.17,2024-10-17
191,Madrid,Arganzuela,Venta,Piso,277944.0,64.3,1.0,1.0,A reformar,1975,5,True,True,False,False,False,6.09,2024-11-03
192,Madrid,Arganzuela,Venta,Ático,374932.0,81.2,2.0,2.0,Buen estado,1969,Bajo,False,False,False,True,False,4.61,2025-01-18
193,Madrid,Retiro,Venta,Piso,497603.0,96.4,1.0,1.0,Obra nueva,2021,1,False,True,True,True,True,4.19,2025-03-27
194,Madrid,Chamberí,Venta,Piso,,105.8,2.0,1.0,Buen estado,1996,5,False,False,False,True,False,5.12,2024-12-10
195,Madrid,Chamberí,Alquiler,Piso,469163.0,95.2,1.0,1.0,Obra nueva,2022,3,True,False,False,False,True,6.63,2025-03-08
196,Madrid,Chamberí,Alquiler,Piso,432288.0,84.2,1.0,3.0,Obra nueva,2022,Bajo,True,False,False,True,False,2.45,2024-12-18
197,Madrid,Chamberí,Alquiler,Piso,275408.0,68.8,6.0,1.0,Obra nueva,2018,Ático,True,True,False,False,True,3.36,2024-10-15
